,quarter,game_clock,drive_num,drive_count,poss,down,dist,yl,terr,play_type,gain_loss,gnls_to_yl,gnls_to_terr,rusher,run_dir,passer,pass_dir,pass_depth,intended,pass_result,intBy,int_terr,int_yl,pbuBy,hurriedBy,kicker,kick_yards,kick_terr,kick_yl,kick_result,fg_dist,fg_result,xp_type,xp_result,retBy,ret_yards,ret_terr,ret_yl,tackler1,tackler2,fumble_num,fumbleBy,recoveredBy,recovery_team,recov_terr,recov_yl,presnap_pen,penalty,penOn,pen_team,pen_yards,touchdown,no_play,timeout,away_points_on_play,home_points_on_play,away_points,home_points
102,2,08:34,12,11,LVC,2,11,-48,LVC,Run,0.0,48,LVC,Braden Bohannon,M,,,,,,,,,,,,,,,,,,,,,,,,LT Kelley,,,,,,,,,,,,,,,,0,0,3.0,9.0
103,2,08:34,12,12,LVC,3,11,-48,LVC,Run,-2.0,46,LVC,Malach Williams,L,,,,,,,,,,,,,,,,,,,,,,,,Matt Wertz,,,,,,,,,,,,,,,,0,0,3.0,9.0
104,2,08:34,12,13,LVC,4,13,-46,LVC,Punt,,,,,,,,,,,,,,,,Jerem Bours Jr.,44,FMC,10,Return,,,,,Chris Albero,10,FMC,20,Brody Robinson,,,,,,,,,,,,,,,,0,0,3.0,9.0
105,2,08:34,12,14,LVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
106,2,03:09,13,0,FMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
107,2,03:09,13,1,FMC,1,10,-20,FMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
108,2,03:09,13,2,FMC,1,10,-20,FMC,Pass,75.0,5,LVC,,,Ty Tremba,M,,Matt Hanna,Complete,,,,,,,,,,,,,,,,,,,James Jackson,,,,,,,,,,,,,,,,0,0,3.0,9.0
109,2,03:09,13,3,FMC,1,5,5,LVC,Run,4.0,1,LVC,Mitch Wagner,L,,,,,,,,,,,,,,,,,,,,,,,,Noah Caldani,,,,,,,,,,,,,,,,0,0,3.0,9.0
110,2,03:09,13,4,FMC,2,1,1,LVC,Run,-2.0,3,LVC,Ty Tremba,L,,,,,,,,,,,,,,,,,,,,,,,,Noah Caldani,Nick Morder,,,,,,,,,,,,,,,0,0,3.0,9.0
111,2,03:09,13,5,FMC,3,3,3,LVC,Pass,0.0,,,,,Ty Tremba,R,,Trey Glass,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
112,2,03:09,13,6,FMC,4,3,3,LVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
113,2,03:09,13,7,FMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
114,2,01:44,14,0,LVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
115,2,01:44,14,1,LVC,1,10,-20,LVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
116,2,01:44,14,2,LVC,1,10,-20,LVC,Run,14.0,34,LVC,Dion Bryant,M,,,,,,,,,,,,,,,,,,,,,,,,Matt Wertz,,,,,,,,,,,,,,,,0,0,3.0,9.0
117,2,01:44,14,3,LVC,1,10,-34,LVC,Pass,5.0,39,LVC,,,Braden Bohannon,L,,Alex Vassallo,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
118,2,01:44,14,4,LVC,2,5,-39,LVC,Pass,0.0,,,,,Braden Bohannon,L,,Malaki Blair,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
119,2,01:44,14,5,LVC,3,5,-39,LVC,Pass,0.0,,,,,Braden Bohannon,M,,Alex Vassallo,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
120,2,01:44,14,6,LVC,4,5,-39,LVC,Punt,,,,,,,,,,,,,,,,Jerem Bours Jr.,34,FMC,27,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
121,2,01:44,14,7,LVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,9.0
